team,fifa_ranking,federation
Afghanistan,,AFC
Albania,,UEFA
Algeria,,CAF
American Samoa,,OFC
Andalusia,,Unknown
Andorra,,UEFA
Angola,,CAF
Antigua and Barbuda,,CONCACAF
Argentina,3.0,CONMEBOL
Armenia,,UEFA
Aruba,,CONCACAF
Australia,38.0,AFC
Austria,,UEFA
Azerbaijan,,UEFA
Bahrain,,AFC
Bangladesh,,AFC
Barbados,,CONCACAF
Basque Country,,Unknown
Belarus,,UEFA
Belgium,2.0,UEFA
Belize,,CONCACAF
Benin,,CAF
Bermuda,,CONCACAF
Bhutan,,AFC
Bolivia,,CONMEBOL
Bosnia and Herzegovina,,UEFA
Botswana,,CAF
Brazil,1.0,CONMEBOL
Brittany,,Unknown
Brunei,,AFC
Bulgaria,,UEFA
Burkina Faso,,CAF
Burundi,,CAF
Cambodia,,AFC
Cameroon,43.0,CAF
Canada,41.0,CONCACAF
Cape Verde,,CAF
Catalonia,,Unknown
Cayman Islands,,CONCACAF
Central African Republic,,CAF
Chad,,CAF
Chile,,CONMEBOL
China,,AFC
China PR,,AFC
Colombia,,CONMEBOL
Comoros,,CAF
Congo,,CAF
Cook Islands,,OFC
Corsica,,Unknown
Costa Rica,31.0,CONCACAF
Croatia,12.0,UEFA
Cuba,,CONCACAF
Curaçao,,CONCACAF
Cyprus,,UEFA
Czech Republic,,UEFA
Czechoslovakia,,UEFA
DR Congo,,CAF
Denmark,10.0,UEFA
Djibouti,,CAF
Dominica,,CONCACAF
Dominican Republic,,CONCACAF
East Germany,,UEFA
Ecuador,44.0,CONMEBOL
Egypt,,CAF
El Salvador,,CONCACAF
England,5.0,UEFA
Equatorial Guinea,,CAF
Eritrea,,CAF
Estonia,,UEFA
Eswatini,,CAF
Ethiopia,,CAF
Faroe Islands,,UEFA
Fiji,,OFC
Finland,,UEFA
France,4.0,UEFA
French Guiana,,CONCACAF
Gabon,,CAF
Galicia,,Unknown
Gambia,,CAF
Georgia,,UEFA
German DR,,UEFA
Germany,11.0,UEFA
Germany FR,,UEFA
Ghana,61.0,CAF
Gibraltar,,UEFA
Greece,,UEFA
Grenada,,CONCACAF
Guadeloupe,,CONCACAF
Guam,,AFC
Guatemala,,CONCACAF
Guinea,,CAF
Guinea-Bissau,,CAF
Guyana,,CONCACAF
Haiti,,CONCACAF
Honduras,,CONCACAF
Hong Kong,,AFC
Hungary,,UEFA
Iceland,,UEFA
India,,AFC
Indonesia,,AFC
Iran,20.0,AFC
Iraq,,AFC
Israel,,UEFA
Italy,,UEFA
Ivory Coast,,CAF
Jamaica,,CONCACAF
Japan,24.0,AFC
Jordan,,AFC
Kazakhstan,,UEFA
Kenya,,CAF
Korea Republic,,AFC
Kosovo,,UEFA
Kuwait,,AFC
Kyrgyzstan,,AFC
Laos,,AFC
Latvia,,UEFA
Lebanon,,AFC
Lesotho,,CAF
Liberia,,CAF
Libya,,CAF
Liechtenstein,,UEFA
Lithuania,,UEFA
Luxembourg,,UEFA
Macau,,AFC
Madagascar,,CAF
Malawi,,CAF
Malaysia,,AFC
Maldives,,AFC
Mali,,CAF
Malta,,UEFA
Manchukuo,,Unknown
Martinique,,CONCACAF
Mauritania,,CAF
Mauritius,,CAF
Mexico,13.0,CONCACAF
Moldova,,UEFA
Mongolia,,AFC
Montenegro,,UEFA
Morocco,22.0,CAF
Mozambique,,CAF
Myanmar,,AFC
Namibia,,CAF
Nepal,,AFC
Netherlands,8.0,UEFA
New Caledonia,,OFC
New Zealand,,OFC
Nicaragua,,CONCACAF
Niger,,CAF
Nigeria,,CAF
North Korea,,AFC
North Macedonia,,UEFA
Northern Cyprus,,Unknown
Northern Ireland,,UEFA
Norway,,UEFA
Oman,,AFC
Pakistan,,AFC
Palestine,,AFC
Panama,,CONCACAF
Papua New Guinea,,OFC
Paraguay,,CONMEBOL
Peru,,CONMEBOL
Philippines,,AFC
Poland,26.0,UEFA
Portugal,9.0,UEFA
Puerto Rico,,CONCACAF
Qatar,50.0,AFC
Republic of Ireland,,UEFA
Romania,,UEFA
Russia,,UEFA
Rwanda,,CAF
Saarland,,UEFA
Saint Kitts and Nevis,,CONCACAF
Saint Lucia,,CONCACAF
Saint Vincent and the Grenadines,,CONCACAF
Samoa,,OFC
San Marino,,UEFA
Saudi Arabia,51.0,AFC
Scotland,,UEFA
Senegal,18.0,CAF
Serbia,21.0,UEFA
Seychelles,,CAF
Sierra Leone,,CAF
Silesia,,Unknown
Singapore,,AFC
Slovakia,,UEFA
Slovenia,,UEFA
Solomon Islands,,OFC
Somalia,,CAF
South Africa,,CAF
South Korea,28.0,AFC
South Sudan,,CAF
Soviet Union,,UEFA
Spain,7.0,UEFA
Sri Lanka,,AFC
Sudan,,CAF
Suriname,,CONCACAF
Sweden,,UEFA
Switzerland,15.0,UEFA
Syria,,AFC
São Tomé and Príncipe,,CAF
Tahiti,,OFC
Taiwan,,AFC
Tajikistan,,AFC
Tanzania,,CAF
Thailand,,AFC
Timor-Leste,,AFC
Togo,,CAF
Tonga,,OFC
Trinidad and Tobago,,CONCACAF
Tunisia,30.0,CAF
Turkey,,UEFA
Turkmenistan,,AFC
USA,,CONCACAF
Uganda,,CAF
Ukraine,,UEFA
United Arab Emirates,,AFC
United States,16.0,CONCACAF
United States Virgin Islands,,CONCACAF
Uruguay,14.0,CONMEBOL
Uzbekistan,,AFC
Vanuatu,,OFC
Venezuela,,CONMEBOL
Vietnam,,AFC
Vietnam Republic,,Unknown
Wales,19.0,UEFA
Western Australia,,Unknown
Yemen,,AFC
Yemen DPR,,AFC
Yugoslavia,,UEFA
Zambia,,CAF
Zimbabwe,,CAF
